1989;;;Colocações finais;;1990;;;;;1991;;;;;1992;;;;;1993;;;;;1994;;;;;;;;;
6º;Atlético Mineiro;MG;1.810;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11º;Fluminense;RJ;1.474;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13º;Guarani;SP;1.407;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17º;Portuguesa;SP;1.244;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18º;Bahia;BA;1.233;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19º;Atlético Paranaense;PR;1.167;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22º;Náutico;PE;1.033;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24º;Ponte Preta;SP;916;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011;;;;;;;;;;2012;;;;;;;;;;2013;;;;;;;;;;;;;;
UF;Clube;Forma de classificação;Pos.;Clube;UF;Pontos;Colocações finais;;;UF;Clube;Forma de classificação;Pos.;Clube;UF;Pontos;Colocações finais;;;UF;Clube;Forma de classificação;Pos.;Clube;UF;Pontos;UF;Clube;Forma de classificação;Colocações finais;;;;
 Acre;Rio Branco-AC;Campeão do Estadual 2010;3º;Vasco da Gama; RJ;2.086;Campeão;Vasco da Gama (1.º título);; Acre;Rio Branco-AC;Campeão do Estadual 2011;14º;Bahia; BA;1.586;Campeão;Palmeiras (2º título);; Acre;Rio Branco-AC;Campeão do Estadual 2012;22º;Náutico; Pernambuco;8 036; São Paulo;Corinthians;Campeão da Copa Libertadores 2012;Campeão;Flamengo (3.º título);;;
 Alagoas;Murici;Campeão do Estadual 2010;5º;São Paulo; SP;2.049;Vice-campeão;Coritiba;; Alagoas;ASA;Campeão do Estadual 2011;16º;Guarani; SP;1.547;Vice-campeão;Coritiba;;;Atlético Acreano[a];Vice-campeão do Estadual 2012;23º;Portuguesa; São Paulo;7 840;;Palmeiras;Campeão da Copa do Brasil 2012;Vice-campeão;Atlético Paranaense;;;
;ASA;Vice-campeão do Estadual 2010;7º;Palmeiras; SP;2.012;Estatísticas;;;;Coruripe;Vice-campeão do Estadual 2011;18º;Portuguesa; SP;1.446;Estatísticas;;; Alagoas;CRB;Campeão do Estadual 2012;27º;Paraná; Paraná;5 924; Rio de Janeiro;Fluminense;Campeão do Campeonato Brasileiro 2012;Estatísticas;;;;
 Amapá;Trem;Campeão do Estadual 2010;13º;Goiás; GO;1.523;Melhor marcador;5 gols:;; Amapá;Trem;Campeão do Estadual 2011;21º;Náutico; PE;1.308;Melhor marcador;Luís Fabiano (São Paulo) – 8 gols;;;ASA;Vice-campeão do Estadual 2012;28º;Grêmio Barueri; São Paulo;5 504;;Vasco da Gama[c];5° colocado do Campeonato Brasileiro 2012;Melhor marcador;Hernane (Flamengo) – 8 gols;;;
 Amazonas;Penarol;Campeão do Estadual 2010;14º;Guarani; SP;1.516;;Alecsandro (Vasco da Gama);; Amazonas;Penarol;Campeão do Estadual 2011;23º;Paraná; PR;1.110;Maior goleada;Rio Branco-AC 0–6 Cruzeiro;;;CSA;3º colocado do Estadual 2012;33º;Criciúma; Santa Catarina;4 370; Minas Gerais;Atlético Mineiro;Vice-campeão do Campeonato Brasileiro 2012;Maior goleada;Cametá 0–7 Atlético Goianiense;;;
;Fast Clube;Vice-campeão do Estadual 2010;17º;Portuguesa; SP;1.405;;Rafael Coelho (Avaí);;;Nacional-AM;Vice-campeão do Estadual 2011;25º;Ponte Preta; SP;1.087;(diferença);Arena da Floresta, Rio Branco;; Amapá;Oratório;Campeão do Estadual 2012;34º;São Caetano; São Paulo;4 288; Rio Grande do Sul;Grêmio;3º colocado do Campeonato Brasileiro 2012;(diferença);Estádio Parque do Bacurau, Cametá;;;
 Bahia;Vitória;Campeão do Estadual 2010;22º;Santa Cruz; PE;1.140;;William (Avaí);; Bahia;Bahia de Feira;Campeão do Estadual 2011;27º;Remo; PA;855;;7 de março, primeira fase;; Amazonas;Nacional-AM;Campeão do Estadual 2012;35º;Ipatinga; Minas Gerais;4 164;;;;;10 de abril, primeira fase;;;
;Bahia;Vice-campeão do Estadual 2010;23º;Paraná; PR;1.080;;Adriano (Palmeiras);;;Vitória;Vice-campeão do Estadual 2011;28º;Fortaleza; CE;845;Público;944 677 (8 588 por partida);;;Fast Clube;Vice-campeão do Estadual 2012;36º;Bragantino; São Paulo;3 968;;;;Público;354 095 (2 622,9 por partida);;;
 Ceará;Fortaleza;Campeão do Estadual 2010;24º;Ceará; CE;1.055;;Kléber (Palmeiras);; Ceará;Ceará;Campeão do Estadual 2011;29º;América de Natal; RN;742;Premiações;;; Bahia;Bahia;Campeão do Estadual 2012;37º;Paysandu; Pará;3 740;;;;Premiações;;;;
;Horizonte;Campeão da Copa Fares Lopes de 2010;25º;Ponte Preta; SP;1.047;Maior goleada;Atlético Mineiro 8–1 IAPE;;;Horizonte;Campeão da Copa Fares Lopes de 2011;32º;América Mineiro; MG;656;Melhor jogador;Marcos Assunção (Palmeiras)[1];;;Vitória;Vice-campeão do Estadual 2012;38º;Santo André; São Paulo;3 712;;;;Melhor jogador;Luiz Antônio (Flamengo)[1];;;
 Distrito Federal;Ceilândia;Campeão do Metropolitano 2010;;;;;(diferença);Arena do Jacaré, Sete Lagoas;; Distrito Federal;Brasiliense;Campeão do Metropolitano 2011;;;;;(CBF);;;;Vitória da Conquista;Campeão da Copa Governador do Estado da Bahia de 2012;;;;;;;;(da final);;;;
;Brasiliense;Vice-campeão do Metropolitano 2010;;;;;;2 de março, primeira fase;;;Gama;Vice-campeão do Metropolitano 2011;;;;;Melhor goleiro;Bruno (Palmeiras)[2];; Ceará;Ceará;Campeão do Estadual 2012;;;;;;;;;;;;
 Espírito Santo;Rio Branco-ES;Campeão do Estadual 2010;;;;;Público;920 099 (8 289,2 por partida);; Espírito Santo;São Mateus;Campeão do Estadual 2011;;;;;Melhor treinador;Felipão (Palmeiras);;;Fortaleza;Vice-campeão do Estadual 2012;;;;;;;;;;;;
;Vitória-ES;Campeão da Copa Espírito Santo 2010;;;;;Premiações;;;;Real Noroeste;Campeão da Copa Espírito Santo 2011;;;;;;;;;Guarani de Juazeiro;Campeão da Copa Fares Lopes de 2012;;;;;;;;;;;;
 Goiás;Atlético Goianiense;Campeão do Estadual 2010;;;;;Melhor jogador;Felipe (Vasco da Gama);; Goiás;Atlético Goianiense;Campeão do Estadual 2011;;;;;;;; Distrito Federal;Ceilândia;Campeão do Metropolitano 2012;;;;;;;;;;;;
;Santa Helena;Vice-campeão do Estadual 2010;;;;;(CBF);;;;Goiás;Vice-campeão do Estadual 2011;;;;;;;;;Luziânia;Vice-campeão do Metropolitano 2012;;;;;;;;;;;;
 Maranhão;Sampaio Corrêa;Campeão do Estadual 2010;;;;;;;; Maranhão;Sampaio Corrêa;Campeão do Estadual 2011;;;;;;;;;Sobradinho;3º colocado do Metropolitano 2012;;;;;;;;;;;;
;IAPE;Campeão da Copa União 2010;;;;;;;;;Luminense;Vice-campeão da Copa União 2011;;;;;;;; Espírito Santo;Aracruz;Campeão do Estadual 2012;;;;;;;;;;;;
 Mato Grosso;União Rondonópolis;Campeão do Estadual 2010;;;;;;;; Mato Grosso;Cuiabá;Campeão do Estadual 2011;;;;;;;;;Desportiva Ferroviária[a];Campeão da Copa Espírito Santo de 2012;;;;;;;;;;;;
;Cuiabá [1];Campeão da Copa Governador do Mato Grosso de 2010;;;;;;;;;Luverdense;Campeão da Copa Governador de Mato Grosso de 2011;;;;;;;; Goiás;Goiás;Campeão do Estadual 2012;;;;;;;;;;;;
 Mato Grosso do Sul;Comercial-MS;Campeão do Estadual 2010;;;;;;;; Mato Grosso do Sul;CENE;Campeão do Estadual 2011;;;;;;;;;Atlético Goianiense;Vice-campeão do Estadual 2012;;;;;;;;;;;;
;Naviraiense;Vice-campeão do Estadual 2010;;;;;;;;;Aquidauanense;Vice-campeão do Estadual 2011;;;;;;;;;CRAC;3º colocado do Estadual 2012;;;;;;;;;;;;
 Minas Gerais;Atlético Mineiro;Campeão do Estadual 2010;;;;;;;; Minas Gerais;Cruzeiro;Campeão do Estadual 2011;;;;;;;; Maranhão;Sampaio Corrêa;Campeão do Estadual 2012;;;;;;;;;;;;
;Ipatinga;Vice-campeão do Estadual 2010;;;;;;;;;Atlético Mineiro;Vice-campeão do Estadual 2011;;;;;;;;;Maranhão;Vice-campeão da Copa União de 2012;;;;;;;;;;;;
;Uberaba;Campeão da Taça Minas Gerais de 2010;;;;;;;;;Ipatinga;Campeão da Taça Minas Gerais 2011;;;;;;;; Mato Grosso;Luverdense;Campeão do Estadual 2012;;;;;;;;;;;;
 Pará;Paysandu;Campeão do Estadual 2010;;;;;;;; Pará;Independente-PA;Campeão do Estadual 2011;;;;;;;;;Mixto;Campeão da Copa Governador de Mato Grosso de 2012;;;;;;;;;;;;
;Águia de Marabá;Vice-campeão do Estadual 2010;;;;;;;;;Paysandu;Vice-campeão do Estadual 2011;;;;;;;; Mato Grosso do Sul;Águia Negra;Campeão do Estadual 2012;;;;;;;;;;;;
 Paraíba;Treze;Campeão do Estadual 2010;;;;;;;; Paraíba;Treze;Campeão do Estadual 2011;;;;;;;;;Naviraiense;Vice-campeão do Estadual 2012;;;;;;;;;;;;
;Botafogo-PB;Campeão da Copa Paraíba de 2010;;;;;;;;;Auto Esporte-PB;Campeão da Copa Paraíba 2011;;;;;;;; Minas Gerais;América Mineiro;Vice-campeão do Estadual 2012;;;;;;;;;;;;
 Paraná;Coritiba;Campeão do Estadual 2010;;;;;;;; Paraná;Coritiba;Campeão do Estadual 2011;;;;;;;;;Tupi;3º colocado do Estadual 2012;;;;;;;;;;;;
;Atlético Paranaense;Vice-campeão do Estadual 2010;;;;;;;;;Atlético Paranaense;Vice-campeão do Estadual 2011;;;;;;;;;Cruzeiro;4º colocado do Estadual 2012;;;;;;;;;;;;
;Iraty;3º colocado do Estadual 2010;;;;;;;;;Operário-PR;3º colocado do Estadual 2011;;;;;;;;;Boa Esporte;Campeão da Taça Minas Gerais 2012;;;;;;;;;;;;
 Pernambuco;Sport;Campeão do Estadual 2010;;;;;;;; Pernambuco;Santa Cruz;Campeão do Estadual 2011;;;;;;;; Pará;Cametá;Campeão do Estadual 2012;;;;;;;;;;;;
;Náutico;Vice-campeão do Estadual 2010;;;;;;;;;Sport;Vice-campeão do Estadual 2011;;;;;;;;;Remo;Vice-campeão do Estadual 2012;;;;;;;;;;;;
 Piauí;Comercial-PI;Campeão do Estadual 2010;;;;;;;; Piauí;4 de Julho;Campeão do Estadual 2011;;;;;;;;;Águia de Marabá;3º colocado do Estadual 2012;;;;;;;;;;;;
;Barras;Vice-campeão do Estadual 2010;;;;;;;;;Comercial-PI;Vice-campeão do Estadual 2011;;;;;;;; Paraíba;Campinense;Campeão do Estadual 2012;;;;;;;;;;;;
 Rio de Janeiro;Botafogo;Campeão do Estadual 2010;;;;;;;; Rio de Janeiro;Botafogo;3º colocado do Estadual 2011;;;;;;;;;Sousa[b];Vice-campeão do Estadual 2012;;;;;;;;;;;;
;Flamengo;Vice-campeão do Estadual 2010;;;;;;;;;Boavista-RJ;4º colocado do Estadual 2011;;;;;;;; Paraná;Coritiba;Campeão do Estadual 2012;;;;;;;;;;;;
;Bangu;Vice-campeão da Copa Rio 2010;;;;;;;;;Madureira;Campeão da Copa Rio 2011;;;;;;;;;Atlético Paranaense;Vice-campeão do Estadual 2012;;;;;;;;;;;;
 Rio Grande do Norte;ABC;Campeão do Estadual 2010;;;;;;;; Rio Grande do Norte;ABC;Campeão do Estadual 2011;;;;;;;;;Arapongas;3º colocado do Estadual 2012;;;;;;;;;;;;
;Corintians de Caicó;Vice-campeão do Estadual 2010;;;;;;;;;Santa Cruz-RN;Vice-campeão do Estadual 2011;;;;;;;;;Cianorte;4º colocado do Estadual 2012;;;;;;;;;;;;
 Rio Grande do Sul;Caxias;3º colocado do Estadual 2010;;;;;;;; Rio Grande do Sul;Grêmio;Vice-campeão do Estadual 2011;;;;;;;; Pernambuco;Santa Cruz;Campeão do Estadual 2012;;;;;;;;;;;;
;São José-RS;4º colocado do Estadual 2010;;;;;;;;;Juventude;3º colocado do Estadual 2011;;;;;;;;;Sport;Vice-campeão do Estadual 2012;;;;;;;;;;;;
;Ypiranga de Erechim;Vice-campeão da Copa FGF 2009;;;;;;;;;Sapucaiense;3º colocado da Copa FGF de 2010;;;;;;;;;Salgueiro;3º colocado do Estadual 2012;;;;;;;;;;;;
 Rondônia;Vilhena;Campeão do Estadual 2010;;;;;;;; Rondônia;Espigão;Campeão do Estadual 2011;;;;;;;; Piauí;Parnahyba;Campeão do Estadual 2012;;;;;;;;;;;;
 Roraima;Baré;Campeão do Estadual 2010;;;;;;;; Roraima;Real;Campeão do Estadual 2011;;;;;;;;;Flamengo-PI;Campeão da Copa Piauí 2012[9];;;;;;;;;;;;
 São Paulo;Santo André;Vice-campeão do Estadual 2010;;;;;;;; São Paulo;Palmeiras;3º colocado do Estadual 2011;;;;;;;; Rio de Janeiro;Botafogo;Vice-campeão do Estadual 2012;;;;;;;;;;;;
;Grêmio Prudente;3º colocado do Estadual 2010;;;;;;;;;São Paulo;4º colocado do Estadual 2011;;;;;;;;;Flamengo;3º colocado do Estadual 2012;;;;;;;;;;;;
;Paulista;Campeão da Copa Paulista 2010;;;;;;;;;Paulista;Campeão da Copa Paulista 2011;;;;;;;;;Resende;5° colocado do Estadual 2012;;;;;;;;;;;;
 Santa Catarina;Avaí;Campeão do Estadual 2010;;;;;;;; Santa Catarina;Chapecoense;Campeão do Estadual 2011;;;;;;;;;Volta Redonda;6° colocado do Estadual 2012[10];;;;;;;;;;;;
;Brusque;Campeão da Copa Santa Catarina 2010;;;;;;;;;Criciúma;Vice-campeão do Estadual 2011;;;;;;;;;Bangu;Vice-campeão da Copa Rio 2012;;;;;;;;;;;;
 Sergipe;River Plate-SE;Campeão do Estadual 2010;;;;;;;; Sergipe;River Plate-SE;Campeão do Estadual 2011;;;;;;;; Rio Grande do Norte;América de Natal;Campeão do Estadual 2012;;;;;;;;;;;;
;São Domingos;Campeão da Copa Governo de Sergipe 2010;;;;;;;;;São Domingos;Vice-campeão do Estadual 2011;;;;;;;;;ABC;Vice-campeão do Estadual 2012;;;;;;;;;;;;
 Tocantins;Gurupi;Campeão do Estadual 2010;;;;;;;; Tocantins;Gurupi;Campeão do Estadual 2011;;;;;;;;;Santa Cruz-RN;Campeão da Copa FNF de 2013;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;; Rio Grande do Sul;Internacional;Campeão do Estadual 2012;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;Caxias;Vice-campeão do Estadual 2012;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;Veranópolis;4º colocado do Estadual 2012;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;Brasil de Pelotas;Vice-campeão da Copa FGF 2012;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;; Rondônia;Ji-Paraná;Campeão do Estadual 2012;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;; Roraima;São Raimundo-RR;Campeão do Estadual 2012;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;; São Paulo;Santos;Campeão do Estadual 2012;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;Guarani;Vice-campeão do Estadual 2012;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;Ponte Preta;4º colocado do Estadual 2012;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;São Bernardo;Campeão da Série A2 do Estadual 2012[11];;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;Noroeste;Campeão da Copa Paulista 2012;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;; Santa Catarina;Avaí;Campeão do Estadual 2012;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;Figueirense;Vice-campeão do Estadual 2012;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;Joinville;Campeão da Copa Santa Catarina 2012;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;; Sergipe;Itabaiana;Campeão do Estadual 2012;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;Confiança;Campeão da Copa Governo do Estado de Sergipe de 2012;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;; Tocantins;Gurupi;Campeão do Estadual 2012;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;2015;;;;;;;;;;;;;;;;;;;;;;
UF;Clube;Forma de classificação;Pos.;Clube;Pontos;UF;Clube;Forma de classificação;Colocações finais;;;UF;Clube;Forma de classificação;Pos.;Clube;Pontos;UF;Clube;Forma de classificação;Colocações finais;;;;;;;;;;;;;
 Acre;Plácido de Castro;Campeão do Estadual 2013;11º; Palmeiras;12 680; Minas Gerais;Atlético Mineiro;Campeão da Copa Libertadores 2013;Campeão;Atlético Mineiro (1.º título);; Acre;Rio Branco-AC;Campeão do Estadual 2014;11º; Botafogo;12 332; Minas Gerais;Cruzeiro;Campeão do Campeonato Brasileiro 2014;Campeão;Palmeiras (3.º título);;;;;;;;;;;;
;Rio Branco-AC[d];Vice-campeão do Estadual 2013;17º; Bahia;9 326;;Cruzeiro;Campeão do Campeonato Brasileiro 2013;Vice-campeão;Cruzeiro;;;Atlético Acreano;Vice-campeão do Estadual 2014;17º; Vitória;8 441;;Atlético Mineiro;Campeão da Copa do Brasil 2014;Vice-campeão;Santos;;;;;;;;;;;;
 Alagoas;CRB;Campeão do Estadual 2013;18º; Ponte Preta;7 952; Paraná;Atlético Paranaense;3º colocado do Campeonato Brasileiro 2013;Estatísticas;;; Alagoas;Coruripe;Campeão do Estadual 2014;18º; Ponte Preta;7 440; São Paulo;São Paulo;Vice-campeão do Campeonato Brasileiro 2014;Estatísticas;;;;;;;;;;;;;
;CSA;Vice-campeão do Estadual 2013;23º; Avaí;7 136; Rio de Janeiro;Botafogo;4º colocado do Campeonato Brasileiro 2013;Melhor marcador;6 gols:;;;CRB;Vice-campeão do Estadual 2014;23º; ABC;6 516;;Corinthians;4º colocado do Campeonato Brasileiro 2014;Melhor marcador;Gabriel (Santos) – 8 gols;;;;;;;;;;;;
;Santa Rita;Campeão da Primeira Fase do Estadual 2013;25º; Figueirense;6 248;;Flamengo;Campeão da Copa do Brasil 2013;;Bill (Ceará);;;Murici;Campeão da primeira fase do Estadual 2014;24º; Portuguesa;6 497; Rio Grande do Sul;Internacional;3º colocado do Campeonato Brasileiro 2014;Maior goleada;Independente-PA 5–0 Icasa;;;;;;;;;;;;
 Amapá;Santos-AP;Campeão do Estadual 2013;28º; América Mineiro;5 386; Rio de Grande do Sul;Grêmio;Vice-campeão do Campeonato Brasileiro 2013;;Gabriel (Santos);; Amapá;Santos-AP;Campeão do Estadual 2014;25º; Criciúma;6 495; Rio de Janeiro;Fluminense[FLU];6º colocado do Campeonato Brasileiro 2014;(diferença);;;;;;;;;;;;;
 Amazonas;Princesa do Solimões;Campeão do Estadual 2013;30º; Guarani;4 781;;;;;Léo Gamalho (Santa Cruz);; Amazonas;Nacional-AM;Campeão do Estadual 2014;27º; Avaí;6 364;;;;;;;;;;;;;;;;;
;Nacional-AM;Vice-campeão do Estadual 2013;31º; ASA;4 732;;;;Maiores goleadas;Remo 1–6 Internacional;;;Princesa do Solimões;Vice-campeão do Estadual 2014;31º; Paraná;5 090;;;;;;;;;;;;;;;;;
 Bahia;Vitória;Campeão do Estadual 2013;33º; Grêmio Barueri;4 287;;;;(diferença);Estádio Mangueirão, Belém;; Bahia;Bahia;Campeão do Estadual 2014;32º; Bragantino;4 880;;;;;;;;;;;;;;;;;
;Juazeiro;Vice-campeão da Primeira Fase do Estadual 2013;34º; Bragantino;4 054;;;;;12 de março;;;Jacuipense;Vice-campeão da primeira fase do Estadual 2014;35º; ASA;4 120;;;;;;;;;;;;;;;;;
;Bahia de Feira;Campeão da Copa Governador do Estado da Bahia de 2013;;;;;;;;;;;Vitória da Conquista;Campeão da Copa Governador do Estado da Bahia de 2014;;;;;;;;;;;;;;;;;;;;
 Ceará;Ceará;Campeão do Estadual 2013;;;;;;;;Fluminense 5–0 Horizonte;; Ceará;Ceará;Campeão do Estadual 2014;;;;;;;;;;;;;;;;;;;;
;Horizonte;Campeão da Primeira Fase do Estadual 2013;;;;;;;;Estádio do Maracanã, Rio de Janeiro;;;Fortaleza;Campeão da primeira fase do Estadual 2014;;;;;;;;;;;;;;;;;;;;
;Barbalha;Campeão da Copa Fares Lopes de 2013;;;;;;;;10 de abril;;;Icasa;Campeão da Copa Fares Lopes de 2014;;;;;;;;;;;;;;;;;;;;
 Distrito Federal;Brasiliense;Campeão do Metropolitano 2013;;;;;;;;;; Distrito Federal;Luziânia;Campeão do Metropolitano 2014;;;;;;;;;;;;;;;;;;;;
;Brasília;Vice-campeão do Metropolitano 2013;;;;;;;;Cruzeiro 5–0 Santa Rita;;;Brasília;Vice-campeão do Metropolitano 2014;;;;;;;;;;;;;;;;;;;;
 Espírito Santo;Desportiva Ferroviária;Campeão do Estadual 2013;;;;;;;;Estádio Mineirão, Belo Horizonte;; Espírito Santo;Estrela do Norte;Campeão do Estadual 2014;;;;;;;;;;;;;;;;;;;;
;Real Noroeste[d];Campeão da Copa Espírito Santo 2013;;;;;;;;27 de agosto;;;Real Noroeste;Campeão da Copa Espírito Santo 2014;;;;;;;;;;;;;;;;;;;;
 Goiás;Goiás;Campeão do Estadual 2013;;;;;;;;;; Goiás;Atlético Goianiense;Campeão do Estadual 2014;;;;;;;;;;;;;;;;;;;;
;Atlético Goianiense;Vice-campeão do Estadual 2013;;;;;;;;Santos 5–0 Botafogo;;;Goiás;Vice-campeão do Estadual 2014;;;;;;;;;;;;;;;;;;;;
;Goianésia;3º colocado do Estadual 2013;;;;;;;;;;;Anapolina;3º colocado do Estadual 2014;;;;;;;;;;;;;;;;;;;;
 Maranhão;Maranhão;Campeão do Estadual 2013;;;;;;;;;; Maranhão;Sampaio Corrêa;Campeão do Estadual 2014;;;;;;;;;;;;;;;;;;;;
;Sampaio Corrêa;Campeão da Copa São Luís 2013;;;;;;;;;;;Moto Club;Vice-campeão do Estadual 2014;;;;;;;;;;;;;;;;;;;;
 Mato Grosso;Cuiabá;Campeão do Estadual 2013;;;;;;;;;; Mato Grosso;Cuiabá;Campeão do Estadual 2014;;;;;;;;;;;;;;;;;;;;
;Mixto[e];Vice-campeão do Estadual 2013;;;;;;;;;;;Luverdense;Vice-campeão do Estadual 2014;;;;;;;;;;;;;;;;;;;;
;Rondonópolis;Campeão da Copa Governador de Mato Grosso de 2013;;;;;;;;;;;Operário VG;3º colocado do Estadual 2014;;;;;;;;;;;;;;;;;;;;
 Mato Grosso do Sul;CENE;Campeão do Estadual 2013;;;;;;;;;; Mato Grosso do Sul;CENE;Campeão do Estadual 2014;;;;;;;;;;;;;;;;;;;;
;Naviraiense;Vice-campeão do Estadual 2013;;;;;;;;;;;Águia Negra;Vice-campeão do Estadual 2014;;;;;;;;;;;;;;;;;;;;
 Minas Gerais;Tombense;3º colocado do Estadual 2013;;;;;;;;;; Minas Gerais;América Mineiro;3° colocado do Estadual 2014;;;;;;;;;;;;;;;;;;;;
;Villa Nova;4º colocado do Estadual 2013;;;;;;;;;;;Boa Esporte;4° colocado do Estadual 2014;;;;;;;;;;;;;;;;;;;;
;Tupi[b];5° colocado do Estadual 2013;;;;;;;;;;;Tupi;5º colocado do Estadual 2014;;;;;;;;;;;;;;;;;;;;
;Caldense;6º colocado do Estadual 2013;;;;;;;;;;;Villa Nova;6º colocado do Estadual 2014;;;;;;;;;;;;;;;;;;;;
 Pará;Paysandu;Campeão do Estadual 2013;;;;;;;;;; Pará;Remo;Campeão do Estadual 2014;;;;;;;;;;;;;;;;;;;;
;Paragominas;Vice-campeão do Estadual 2013;;;;;;;;;;;Paysandu;Vice-campeão do Estadual 2014;;;;;;;;;;;;;;;;;;;;
;Remo;3º colocado do Estadual 2013;;;;;;;;;;;Independente-PA;3º colocado do Estadual 2014;;;;;;;;;;;;;;;;;;;;
 Paraíba;Botafogo-PB;Campeão do Estadual 2013;;;;;;;;;; Paraíba;Botafogo-PB;Campeão do Estadual 2014;;;;;;;;;;;;;;;;;;;;
;Treze[a];Vice-campeão do Estadual 2013;;;;;;;;;;;Campinense;Vice-campeão do Estadual 2014;;;;;;;;;;;;;;;;;;;;
 Paraná;Coritiba;Campeão do Estadual 2013;;;;;;;;;; Paraná;Londrina;Campeão do Estadual 2014;;;;;;;;;;;;;;;;;;;;
;Londrina;3º colocado do Estadual 2013;;;;;;;;;;;Maringá;Vice-campeão do Estadual 2014;;;;;;;;;;;;;;;;;;;;
;Paraná;4º colocado do Estadual 2013;;;;;;;;;;;Coritiba;3º colocado do Estadual 2014;;;;;;;;;;;;;;;;;;;;
;J.Malucelli;5º colocado do Estadual 2013;;;;;;;;;;;Atlético Paranaense;4º colocado do Estadual 2014;;;;;;;;;;;;;;;;;;;;
 Pernambuco;Santa Cruz;Campeão do Estadual 2013;;;;;;;;;; Pernambuco;Sport;Campeão do Estadual 2014;;;;;;;;;;;;;;;;;;;;
;Sport;Vice-campeão do Estadual 2013;;;;;;;;;;;Náutico;Vice-campeão do Estadual 2014;;;;;;;;;;;;;;;;;;;;
;Náutico;Campeão do Primeiro Turno do Estadual 2013;;;;;;;;;;;Salgueiro;Campeão do primeiro turno do Estadual 2014;;;;;;;;;;;;;;;;;;;;
 Piauí;Parnahyba;Campeão do Estadual 2013;;;;;;;;;; Piauí;River-PI;Campeão do Estadual 2014;;;;;;;;;;;;;;;;;;;;
;Flamengo-PI;Campeão da Copa Piauí 2013;;;;;;;;;;;Piauí;Vice-campeão do Estadual 2014;;;;;;;;;;;;;;;;;;;;
 Rio de Janeiro;Fluminense;3° colocado do Estadual 2013;;;;;;;;;; Rio de Janeiro;Flamengo;Campeão do Estadual 2014;;;;;;;;;;;;;;;;;;;;
;Vasco da Gama;4° colocado do Estadual 2013;;;;;;;;;;;Vasco da Gama;Vice-campeão do Estadual 2014;;;;;;;;;;;;;;;;;;;;
;Resende;5º colocado do Estadual 2013;;;;;;;;;;;Cabofriense;4º colocado do Estadual 2014;;;;;;;;;;;;;;;;;;;;
;Boavista-RJ;6º colocado do Estadual 2013;;;;;;;;;;;Boavista-RJ;5º colocado do Estadual 2014;;;;;;;;;;;;;;;;;;;;
;Duque de Caxias;Campeão da Copa Rio 2013;;;;;;;;;;;Madureira;Vice-campeão da Copa Rio 2014;;;;;;;;;;;;;;;;;;;;
 Rio Grande do Norte;Potiguar de Mossoró;Campeão do Estadual 2013;;;;;;;;;; Rio Grande do Norte;América de Natal;Campeão do Estadual 2014;;;;;;;;;;;;;;;;;;;;
;América de Natal;Vice-campeão do Estadual 2013;;;;;;;;;;;Globo;Vice-campeão do Estadual 2014;;;;;;;;;;;;;;;;;;;;
;ABC;3° colocado do Estadual 2013;;;;;;;;;;;Alecrim;3° colocado do Estadual 2014;;;;;;;;;;;;;;;;;;;;
 Rio Grande do Sul;Internacional;Campeão do Estadual 2013;;;;;;;;;; Rio Grande do Sul;Grêmio;Vice-campeão do Estadual 2014;;;;;;;;;;;;;;;;;;;;
;Lajeadense;Vice-campeão do Estadual 2013;;;;;;;;;;;Brasil de Pelotas;3º colocado do Estadual 2014;;;;;;;;;;;;;;;;;;;;
;São Luiz;3º colocado do Estadual 2013;;;;;;;;;;;Caxias;4º colocado do Estadual 2014;;;;;;;;;;;;;;;;;;;;
